partition_dt;okrug_mt;province_mt;locality_mt;merchant_city_nm;merchant_id;merchant_nm;terminal_id;geocode_quality_mt;region_denormalized_mt;settlement_denormalized_mt;street_address_denormalized_mt;latitude_mt;longitude_mt;okrug_stl;province_stl;area_mt;area_stl;locality_stl;district_mt;street_mt;house_mt;level_mt;full_addr_clear_hash;cluster_key;cluster_full_addr_clear_hash;fias_houseguid;fias_aoguid;fias_level;inn_mt;chain_mt;company_mt;internet_flag;sbrf_net;mcc_code;mcc_name;mcc_cat;mcc_supercat;terminal_type;kpp;manual_flg;store_format;count_trans;amount_rur;avg_cheque;locality;latitude;longitude;distance;point_type
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;GPN11000;GAZPROMNEFT AZS 127;RZ331271;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Строителей, 56, к.2;86.1763;55.33274;Сибирский федеральный округ;Кемеровская область;Кемеровский городской округ;Кемеровский городской округ;Кемерово;Кемерово;бульвар Строителей;56к2;house;ee2adb455f5024c17d9140c2d13a11fa;"";"";08d8df7f-b879-4746-9c13-7f62462963fe;79ae8eb0-67dd-4a3a-bf79-03e75416cbe5;housecode;7709359770;Газпром нефть;NULLVALUE;N;N;5541;Станции техобслуживания;Автозаправки;Личный транспорт;"";"";Y;NULLVALUE;2456;1999513.0300000000;814.1339698697;Кемерово;55.354727;86.088374;3493919.328913586700000000;large
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;551125998504;RESURSAVTO;25998504;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Волгоградская, 47в, к.1;86.1634;55.32566;"";"";Кемеровский городской округ;"";"";Кемерово;Волгоградская улица;47Вк1;house;b2815bbbdf5274c828221c9ab0fb762d;322ce915a9e41cd152d7f41a9f26f925;"";60eb7d54-0e46-47e4-a5c3-83663b8cc41e;9943e925-994d-4941-9fa1-0757016f9023;housecode;"";НЕ БРЕНД;"";N;N;5511;Продажа автомобилей – новых и подержанных;Продажа и обслуживание личного транспорта;Личный транспорт;"";"";N;"";450;178676.0000000000;397.0577777778;Кемерово;55.354727;86.088374;3492757.931118556000000000;large
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;261000025237;SHKOLNOE PITANIE;22069911;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Терешковой, 22 к.3;86.13515;55.35636;"";"";Кемеровский городской округ;"";"";Кемерово;улица Терешковой;22к3;house;e2994cff7f61b32efd8b184275b290fe;2586e5897d513639f753869a9dece39e;"";d19b05f6-6e19-4882-9892-5acc26ef24f6;85cef6bd-3b56-4fe5-95b1-01a6eabe61f2;housecode;"";НЕ БРЕНД;"";N;N;5814;Фастфуд;Общепит;Общепит;"";"";N;"";54;64033.0000000000;1185.7962962963;Кемерово;55.354727;86.088374;3490022.509812420700000000;large
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;GPN11000;GAZPROMNEFT AZS 090;RZ330901;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Тухачесвкого, 40/1 к.1;86.13379;55.33035;Сибирский федеральный округ;Кемеровская область;Кемеровский городской округ;Кемеровский городской округ;Кемерово;Кемерово;улица Тухачевского;40/1;house;121ba50025e2363db39419a10eac8441;"";"";5f50c529-2f01-4bd2-a638-fea085afcd16;906a4687-2459-41c7-9898-09cc29d035e7;housecode;7709359770;Газпром нефть;NULLVALUE;N;N;5541;Станции техобслуживания;Автозаправки;Личный транспорт;"";"";Y;NULLVALUE;5132;4118896.9600000000;802.5909898675;Кемерово;55.354727;86.088374;3490005.858983766000000000;large
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;GPN11000;GAZPROMNEFT AZS 098;RZ330981;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Терешковой, 22 к.4;86.13428;55.35559;Сибирский федеральный округ;Кемеровская область;Кемеровский городской округ;Кемеровский городской округ;Кемерово;Кемерово;улица Терешковой;22к4;house;e3e85d2889ecb762fc2856881d3323a9;"";"";d19b05f6-6e19-4882-9892-5acc26ef24f6;85cef6bd-3b56-4fe5-95b1-01a6eabe61f2;housecode;7709359770;Газпром нефть;NULLVALUE;N;N;5541;Станции техобслуживания;Автозаправки;Личный транспорт;"";"";Y;NULLVALUE;2886;2956838.4300000000;1024.5455405405;Кемерово;55.354727;86.088374;3489945.427796310300000000;large
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;GPN11000;GAZPROMNEFT AZS 003;RZ330031;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Нахимова, 250, к.2;86.13786;55.43718;Сибирский федеральный округ;Кемеровская область;Кемеровский городской округ;Кемеровский городской округ;Кемерово;Кемерово;улица Нахимова;250к2;house;1776b43b7b7c9b6954d8b3d029de9c5a;"";"";"";"";"";7709359770;Газпром нефть;NULLVALUE;N;N;5541;Станции техобслуживания;Автозаправки;Личный транспорт;"";"";Y;NULLVALUE;3192;2862287.3300000000;896.7065570175;Кемерово;55.354727;86.088374;3489935.232224534700000000;large
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;65240501;MANGAL;65240501;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Тухачевского, 42, к.1;86.1309;55.32157;"";"";Кемеровский городской округ;"";"";Кемерово;улица Тухачевского;42к1;house;ce58046074a5c8cf88dfb9d0a9eb4d6d;477f12fc02b4c03600a1287998184ef7;"";80b63657-6779-471d-93d9-f1871a3b0301;906a4687-2459-41c7-9898-09cc29d035e7;housecode;"";НЕ БРЕНД;"";N;N;5812;Места общественного питания;Общепит;Общепит;"";"";N;"";2856;1250001.5000000000;437.6755952381;Кемерово;55.354727;86.088374;3489776.000641642600000000;large
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;26182067;AZS N 33 VAHRUSHEVA;26182067;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Нахимова, 210;86.1158;55.41207;"";"";Кемеровский городской округ;"";"";Кемерово;улица Нахимова;210;house;bb5c5af0c6e93af9aaba91ba49290b02;60375491a4e77a59331e4ba91893a65c;"";"";cffa20d9-1528-478a-b118-6164da02e2b3;streetcode;"";НЕ БРЕНД;"";N;N;5541;Станции техобслуживания;Автозаправки;Личный транспорт;"";"";N;"";32;58021.8700000000;1813.1834375000;Кемерово;55.354727;86.088374;3488002.499259839800000000;large
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;GPN11000;GAZPROMNEFT AZS 074;RZ33074A;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Терешковой, 1, к.1;86.11028;55.38787;"";"";Кемеровский городской округ;"";"";Кемерово;улица Терешковой;01.янв;house;09fed027b7fc644d72ed283d42165cfc;"";"";f9384d66-60e7-4a18-ba6f-aad7daf60064;85cef6bd-3b56-4fe5-95b1-01a6eabe61f2;housecode;7709359770;Газпром нефть;NULLVALUE;N;N;5542;Автоматизированные бензозаправки;Автозаправки;Личный транспорт;"";"";Y;NULLVALUE;2988;2785977.4200000000;932.3886947791;Кемерово;55.354727;86.088374;3487594.554619037500000000;large
2020-04-01;Сибирский федеральный округ;Кемеровская область;Кемерово;KEMEROVO;0000000Y0043449;OOO KUZBASSDORSTROY;Y0043449;1;NULLVALUE;NULLVALUE;Кемеровская область, Кемерово, Октябрьский, 2А, к.1;86.1033;55.34891;"";"";Кемеровский городской округ;"";"";Кемерово;Октябрьский проспект;2Ак1;house;4258161be3e7036df4dbcd5fe1811eef;2d7795f6025d5dec72350b636182acbe;"";5c2484a0-a873-4456-a861-05b9709b5e92;91dfe2a9-a029-4426-a5a4-affbadeb7d91;housecode;"";НЕ БРЕНД;"";N;N;7523;Паркинги и гаражи;Продажа и обслуживание личного транспорта;Личный транспорт;"";"";N;"";65;8410.0000000000;129.3846153846;Кемерово;55.354727;86.088374;3487114.590631591000000000;large
